Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
    1904   0.0%  99.7%     2704   0.0% Smalot\PdfParser\Parser::parseTrailer
    1901   0.0%  99.8%     1901   0.0% fopen
    1880   0.0%  99.8%     1880   0.0% Symfony\Component\Console\Input\InputDefinition::addArgument
    1864   0.0%  99.8%     2408   0.0% Doctrine\Persistence\Reflection\RuntimeReflectionProperty::__construct
    1816   0.0%  99.8%    39944   0.0% Doctrine\Bundle\DoctrineBundle\Repository\LazyServiceEntityRepository::createLazyGhost
    1816   0.0%  99.8%     1816   0.0% include_once /var/www/html/vendor/doctrine/doctrine-bundle/Repository/LazyServiceEntityRepository.php
    1800   0.0%  99.8%    14520   0.0% Symfony\Bridge\Doctrine\Middleware\Debug\Connection::beginTransaction
    1800   0.0%  99.8%    14520   0.0% Symfony\Bridge\Doctrine\Middleware\Debug\Connection::commit
    1744   0.0%  99.8%    27208   0.0% Symfony\Component\EventDispatcher\Debug\WrappedListener::__construct
    1736   0.0%  99.8%    22892   0.0% include /var/www/html/vendor/symfony/process/Pipes/UnixPipes.php
    1736   0.0%  99.8%     1736   0.0% include_once /var/www/html/vendor/doctrine/doctrine-bundle/Registry.php
    1712   0.0%  99.8%     1712   0.0% Doctrine\ORM\UnitOfWork::addToIdentityMap
    1704   0.0%  99.8%    45048   0.0% include /var/www/html/vendor/symfony/console/Output/ConsoleOutput.php
    1704   0.0%  99.8%     1704   0.0% include_once /var/www/html/vendor/doctrine/doctrine-bundle/Repository/ServiceEntityRepository.php
    1696   0.0%  99.8%     1696   0.0% include /var/www/html/vendor/google/apiclient/src/Collection.php
    1696   0.0%  99.8%     1696   0.0% include_once /var/www/html/vendor/monolog/monolog/src/Monolog/Handler/AbstractProcessingHandler.php
    1688   0.0%  99.8%     3992   0.0% include /var/www/html/vendor/symfony/cache/Adapter/PhpArrayAdapter.php
    1680   0.0%  99.8%    89432   0.1% App\Entity\Book::__construct
    1672   0.0%  99.8%   465229   0.4% Symfony\Component\EventDispatcher\Debug\TraceableEventDispatcher::preProcess
    1656   0.0%  99.8%     1656   0.0% PDOStatement::fetch
    1656   0.0%  99.8%     9616   0.0% include /var/www/html/vendor/gedmo/doctrine-extensions/src/Sluggable/Mapping/Event/Adapter/ORM.php
    1656   0.0%  99.8%    48116   0.0% include /var/www/html/vendor/gedmo/doctrine-extensions/src/Timestampable/Mapping/Event/Adapter/ORM.php
    1656   0.0%  99.8%    29196   0.0% include /var/www/html/vendor/symfony/console/Output/StreamOutput.php
    1656   0.0%  99.8%     1656   0.0% include_once /var/www/html/vendor/symfony/http-kernel/DataCollector/MemoryDataCollector.php
    1624   0.0%  99.8%     8728   0.0% include /var/www/html/vendor/nyholm/psr7/src/Response.php
    1616   0.0%  99.8%     1616   0.0% Closure::fromCallable
    1616   0.0%  99.8%     4568   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/AsciiStringType.php
    1608   0.0%  99.8%     3920   0.0% include /var/www/html/vendor/symfony/http-kernel/KernelInterface.php
    1576   0.0%  99.8%     2280   0.0% include /var/www/html/vendor/symfony/cache/Adapter/ChainAdapter.php
    1560   0.0%  99.8%     8728   0.0% Kiwilan\Ebook\Formats\Epub\EpubModule::toEbook
    1524   0.0%  99.8%     1524   0.0% implode
    1512   0.0%  99.8%     1512   0.0% include_once /var/www/html/vendor/symfony/http-kernel/DataCollector/DumpDataCollector.php
    1496   0.0%  99.8%     1496   0.0% include_once /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Mapping/Driver/AttributeDriver.php
    1472   0.0%  99.8%     1472   0.0% include_once /var/www/html/vendor/symfony/http-client/DataCollector/HttpClientDataCollector.php
    1464   0.0%  99.8%     1464   0.0% Symfony\Component\ErrorHandler\DebugClassLoader::__construct
    1456   0.0%  99.8%   226824   0.2% Symfony\Component\DependencyInjection\Container::getEnv
    1448   0.0%  99.8%     2048   0.0% Doctrine\ORM\Mapping\ClassMetadataInfo::_validateAndCompleteAssociationMapping
    1448   0.0%  99.8%     2680   0.0% Symfony\Component\Cache\Adapter\ArrayAdapter::getItem
    1440   0.0%  99.8%     8760   0.0% Gedmo\Timestampable\Mapping\Event\Adapter\ORM::getRawDateValue
    1432   0.0%  99.8%    40452   0.0% include /var/www/html/vendor/symfony/translation/DependencyInjection/TranslatorPathsPass.php
    1432   0.0%  99.8%    10704   0.0% include /var/www/html/vendor/symfony/var-dumper/Caster/ClassStub.php
    1432   0.0%  99.8%     7652   0.0% include /var/www/html/vendor/symfony/var-dumper/Caster/ConstStub.php
    1432   0.0%  99.8%     4576   0.0% include_once /var/www/html/vendor/symfony/monolog-bridge/Handler/ConsoleHandler.php
    1416   0.0%  99.8%     1416   0.0% include /var/www/html/vendor/symfony/http-client/CurlHttpClient.php
    1416   0.0%  99.8%     1416   0.0% include_once /var/www/html/vendor/symfony/form/Extension/DataCollector/FormDataCollector.php
    1400   0.0%  99.8%     5600   0.0% Symfony\Component\HttpClient\Internal\CurlClientState::__construct
    1400   0.0%  99.8%     1400   0.0% include_once /var/www/html/vendor/symfony/http-kernel/DataCollector/EventDataCollector.php
    1384   0.0%  99.8%    28028   0.0% include /var/www/html/vendor/gedmo/doctrine-extensions/src/Sluggable/Mapping/Driver/Attribute.php
    1384   0.0%  99.8%     1384   0.0% include_once /var/www/html/vendor/symfony/dependency-injection/ParameterBag/ContainerBag.php
    1384   0.0%  99.8%     1384   0.0% include_once /var/www/html/vendor/symfony/twig-bridge/DataCollector/TwigDataCollector.php
    1376   0.0%  99.8%    20516   0.0% include /var/www/html/vendor/symfony/doctrine-bridge/Middleware/Debug/Connection.php
    1368   0.0%  99.8%     1368   0.0% include_once /var/www/html/vendor/symfony/framework-bundle/Secrets/SodiumVault.php
    1368   0.0%  99.8%     1368   0.0% include_once /var/www/html/vendor/symfony/http-kernel/DataCollector/TimeDataCollector.php
    1352   0.0%  99.8%     1352   0.0% include_once /var/www/html/vendor/symfony/cache/DataCollector/CacheDataCollector.php
    1352   0.0%  99.8%     1352   0.0% include_once /var/www/html/vendor/symfony/messenger/DataCollector/MessengerDataCollector.php
    1352   0.0%  99.8%     1352   0.0% include_once /var/www/html/vendor/symfony/translation/DataCollector/TranslationDataCollector.php
    1352   0.0%  99.8%     1352   0.0% include_once /var/www/html/vendor/symfony/validator/DataCollector/ValidatorDataCollector.php
    1344   0.0%  99.8%     3960   0.0% Kiwilan\Ebook\Formats\Epub\Parser\OpfItem::setDcCreators
    1344   0.0%  99.8%    13336   0.0% Kiwilan\Ebook\Formats\Epub\Parser\OpfItem::setDcIdentifiers
    1344   0.0%  99.8%     1344   0.0% SimpleXMLElement::getDocNamespaces
    1336   0.0%  99.8%    36144   0.0% Doctrine\ORM\Mapping\Driver\AttributeReader::isRepeatable
    1336   0.0%  99.8%     1336   0.0% Doctrine\ORM\Persisters\Entity\BasicEntityPersister::getInsertColumnList
    1336   0.0%  99.8%   393616   0.3% Doctrine\ORM\UnitOfWork::getEntityPersister
    1336   0.0%  99.8%   743120   0.6% Symfony\Component\HttpKernel\Kernel::initializeBundles
    1336   0.0%  99.8%    53976   0.0% include /var/www/html/src/Controller/GroupController.php
    1320   0.0%  99.8%    32912   0.0% include /var/www/html/vendor/doctrine/collections/src/Collection.php
    1296   0.0%  99.8%     2048   0.0% Symfony\Component\Console\Command\ListCommand::configure
    1288   0.0%  99.8%     2584   0.0% Symfony\Component\Console\Command\DumpCompletionCommand::configure
    1288   0.0%  99.8%     1288   0.0% include /var/www/html/vendor/gedmo/doctrine-extensions/src/Sluggable/Mapping/Event/SluggableAdapter.php
    1288   0.0%  99.8%    20632   0.0% include /var/www/html/vendor/psr/http-message/src/RequestInterface.php
